timestamp,task_id,release,region,queue_depth_at_submit,duration_ms,outcome,attempt
2024-05-14T09:00:00Z,task-2024050-0001,2024.05.0,westeurope,3,170.9,succeeded,1
2024-05-14T09:00:07Z,task-2024050-0002,2024.05.0,eastus,9,216.7,succeeded,1
2024-05-14T09:00:12Z,task-2024050-0003,2024.05.0,westeurope,4,149.2,succeeded,1
2024-05-14T09:00:20Z,task-2024050-0004,2024.05.0,westeurope,2,215.2,succeeded,1
2024-05-14T09:00:30Z,task-2024050-0005,2024.05.0,eastus,5,234.8,succeeded,1
2024-05-14T09:00:39Z,task-2024050-0006,2024.05.0,eastus,4,219.4,succeeded,1
2024-05-14T09:00:48Z,task-2024050-0007,2024.05.0,eastus,5,240.2,succeeded,1
2024-05-14T09:00:51Z,task-2024050-0008,2024.05.0,westeurope,2,183.8,succeeded,1
2024-05-14T09:01:02Z,task-2024050-0009,2024.05.0,eastus,8,183.1,succeeded,1
2024-05-14T09:01:05Z,task-2024050-0010,2024.05.0,eastus,5,208.9,succeeded,1
2024-05-14T09:01:08Z,task-2024050-0011,2024.05.0,westeurope,2,129.9,succeeded,1
2024-05-14T09:01:15Z,task-2024050-0012,2024.05.0,eastus,5,449.6,succeeded,1
2024-05-14T09:01:26Z,task-2024050-0013,2024.05.0,westeurope,1,247.6,succeeded,1
2024-05-14T09:01:33Z,task-2024050-0014,2024.05.0,westeurope,0,187.9,succeeded,1
2024-05-14T09:01:40Z,task-2024050-0015,2024.05.0,westeurope,0,261.3,succeeded,1
2024-05-14T09:01:43Z,task-2024050-0016,2024.05.0,westeurope,7,249.1,succeeded,1
2024-05-14T09:01:51Z,task-2024050-0017,2024.05.0,eastus,5,183.5,succeeded,1
2024-05-14T09:01:59Z,task-2024050-0018,2024.05.0,westeurope,4,243.6,succeeded,1
2024-05-14T09:02:02Z,task-2024050-0019,2024.05.0,eastus,6,307.6,succeeded,1
2024-05-14T09:02:09Z,task-2024050-0020,2024.05.0,westeurope,5,463.2,succeeded,1
2024-05-14T09:02:10Z,task-2024050-0021,2024.05.0,eastus,8,160.8,succeeded,1
2024-05-14T09:02:15Z,task-2024050-0022,2024.05.0,eastus,4,180.3,succeeded,1
2024-05-14T09:02:20Z,task-2024050-0023,2024.05.0,eastus,8,177.9,succeeded,1
2024-05-14T09:02:31Z,task-2024050-0024,2024.05.0,westeurope,3,86.0,succeeded,1
2024-05-14T09:02:40Z,task-2024050-0025,2024.05.0,westeurope,1,212.8,succeeded,1
2024-05-14T09:02:44Z,task-2024050-0026,2024.05.0,westeurope,4,156.1,succeeded,1
2024-05-14T09:02:52Z,task-2024050-0027,2024.05.0,westeurope,4,149.5,succeeded,1
2024-05-14T09:02:58Z,task-2024050-0028,2024.05.0,westeurope,2,119.7,succeeded,1
2024-05-14T09:03:05Z,task-2024050-0029,2024.05.0,eastus,6,134.5,succeeded,1
2024-05-14T09:03:12Z,task-2024050-0030,2024.05.0,eastus,6,179.9,succeeded,1
2024-05-14T09:03:19Z,task-2024050-0031,2024.05.0,westeurope,4,171.8,succeeded,1
2024-05-14T09:03:22Z,task-2024050-0032,2024.05.0,westeurope,4,274.5,succeeded,1
2024-05-14T09:03:28Z,task-2024050-0033,2024.05.0,eastus,5,185.2,succeeded,1
2024-05-14T09:03:35Z,task-2024050-0034,2024.05.0,westeurope,2,145.4,succeeded,1
2024-05-14T09:03:42Z,task-2024050-0035,2024.05.0,westeurope,5,352.0,succeeded,1
2024-05-14T09:03:54Z,task-2024050-0036,2024.05.0,eastus,11,172.4,succeeded,1
2024-05-14T09:04:06Z,task-2024050-0037,2024.05.0,westeurope,0,370.4,succeeded,1
2024-05-14T09:04:08Z,task-2024050-0038,2024.05.0,westeurope,3,595.6,succeeded,1
2024-05-14T09:04:17Z,task-2024050-0039,2024.05.0,westeurope,2,230.0,succeeded,1
2024-05-14T09:04:27Z,task-2024050-0040,2024.05.0,westeurope,3,274.6,succeeded,1
2024-05-14T09:04:32Z,task-2024050-0041,2024.05.0,westeurope,2,159.4,succeeded,1
2024-05-14T09:04:41Z,task-2024050-0042,2024.05.0,westeurope,4,304.3,succeeded,1
2024-05-14T09:04:52Z,task-2024050-0043,2024.05.0,eastus,5,209.6,failed,1
2024-05-14T09:04:54Z,task-2024050-0043,2024.05.0,eastus,5,269.0,succeeded,2
2024-05-14T09:05:05Z,task-2024050-0044,2024.05.0,eastus,12,129.8,succeeded,1
2024-05-14T09:05:13Z,task-2024050-0045,2024.05.0,eastus,9,372.2,succeeded,1
2024-05-14T09:05:22Z,task-2024050-0046,2024.05.0,westeurope,7,174.1,succeeded,1
2024-05-14T09:05:27Z,task-2024050-0047,2024.05.0,westeurope,2,262.2,succeeded,1
2024-05-14T09:05:29Z,task-2024050-0048,2024.05.0,westeurope,5,144.6,succeeded,1
2024-05-14T09:05:35Z,task-2024050-0049,2024.05.0,eastus,2,298.3,succeeded,1
2024-05-14T09:05:44Z,task-2024050-0050,2024.05.0,westeurope,2,221.5,succeeded,1
2024-05-14T09:05:53Z,task-2024050-0051,2024.05.0,westeurope,1,157.8,succeeded,1
2024-05-14T09:06:00Z,task-2024050-0052,2024.05.0,eastus,4,130.3,succeeded,1
2024-05-14T09:06:02Z,task-2024050-0053,2024.05.0,eastus,5,105.5,succeeded,1
2024-05-14T09:06:08Z,task-2024050-0054,2024.05.0,westeurope,1,283.7,succeeded,1
2024-05-14T09:06:11Z,task-2024050-0055,2024.05.0,eastus,7,283.1,succeeded,1
2024-05-14T09:06:17Z,task-2024050-0056,2024.05.0,eastus,4,195.0,succeeded,1
2024-05-14T09:06:21Z,task-2024050-0057,2024.05.0,eastus,5,141.2,succeeded,1
2024-05-14T09:06:26Z,task-2024050-0058,2024.05.0,eastus,7,190.8,succeeded,1
2024-05-14T09:06:30Z,task-2024050-0059,2024.05.0,eastus,10,236.4,succeeded,1
2024-05-14T09:06:38Z,task-2024050-0060,2024.05.0,westeurope,1,193.9,succeeded,1
2024-05-14T09:06:41Z,task-2024050-0061,2024.05.0,eastus,3,254.5,succeeded,1
2024-05-14T09:06:49Z,task-2024050-0062,2024.05.0,eastus,4,142.2,succeeded,1
2024-05-14T09:06:54Z,task-2024050-0063,2024.05.0,eastus,15,334.9,succeeded,1
2024-05-14T09:07:02Z,task-2024050-0064,2024.05.0,westeurope,1,260.8,succeeded,1
2024-05-14T09:07:11Z,task-2024050-0065,2024.05.0,westeurope,0,201.0,succeeded,1
2024-05-14T09:07:22Z,task-2024050-0066,2024.05.0,eastus,8,209.6,failed,1
2024-05-14T09:07:27Z,task-2024050-0066,2024.05.0,eastus,8,146.0,succeeded,2
2024-05-14T09:07:32Z,task-2024050-0067,2024.05.0,eastus,4,240.2,succeeded,1
2024-05-14T09:07:42Z,task-2024050-0068,2024.05.0,eastus,1,176.8,succeeded,1
2024-05-14T09:07:48Z,task-2024050-0069,2024.05.0,eastus,8,195.0,succeeded,1
2024-05-14T09:07:54Z,task-2024050-0070,2024.05.0,westeurope,4,134.4,succeeded,1
2024-05-14T09:08:00Z,task-2024050-0071,2024.05.0,westeurope,1,209.4,succeeded,1
2024-05-14T09:08:11Z,task-2024050-0072,2024.05.0,westeurope,3,199.6,succeeded,1
2024-05-14T09:08:16Z,task-2024050-0073,2024.05.0,eastus,8,199.2,succeeded,1
2024-05-14T09:08:23Z,task-2024050-0074,2024.05.0,eastus,6,221.2,succeeded,1
2024-05-14T09:08:33Z,task-2024050-0075,2024.05.0,eastus,6,194.4,failed,1
2024-05-14T09:08:39Z,task-2024050-0076,2024.05.0,westeurope,4,309.3,succeeded,1
2024-05-14T09:08:50Z,task-2024050-0077,2024.05.0,eastus,9,177.6,succeeded,1
2024-05-14T09:08:58Z,task-2024050-0078,2024.05.0,westeurope,3,176.7,succeeded,1
2024-05-14T09:09:06Z,task-2024050-0079,2024.05.0,westeurope,7,368.8,succeeded,1
2024-05-14T09:09:13Z,task-2024050-0080,2024.05.0,westeurope,2,168.7,succeeded,1
2024-05-14T09:09:25Z,task-2024050-0081,2024.05.0,westeurope,4,160.1,succeeded,1
2024-05-14T09:09:33Z,task-2024050-0082,2024.05.0,eastus,11,191.7,succeeded,1
2024-05-14T09:09:37Z,task-2024050-0083,2024.05.0,eastus,6,84.0,succeeded,1
2024-05-14T09:09:41Z,task-2024050-0084,2024.05.0,eastus,1,147.6,succeeded,1
2024-05-14T09:09:48Z,task-2024050-0085,2024.05.0,eastus,4,168.4,succeeded,1
2024-05-14T09:09:58Z,task-2024050-0086,2024.05.0,westeurope,3,234.6,succeeded,1
2024-05-14T09:10:03Z,task-2024050-0087,2024.05.0,eastus,6,193.8,succeeded,1
2024-05-14T09:10:07Z,task-2024050-0088,2024.05.0,eastus,10,139.3,succeeded,1
2024-05-14T09:10:13Z,task-2024050-0089,2024.05.0,westeurope,5,311.1,succeeded,1
2024-05-14T09:10:22Z,task-2024050-0090,2024.05.0,eastus,9,175.9,succeeded,1
2024-05-14T09:10:24Z,task-2024050-0091,2024.05.0,westeurope,6,167.2,succeeded,1
2024-05-14T09:10:28Z,task-2024050-0092,2024.05.0,eastus,6,124.2,succeeded,1
2024-05-14T09:10:36Z,task-2024050-0093,2024.05.0,eastus,8,169.3,succeeded,1
2024-05-14T09:10:47Z,task-2024050-0094,2024.05.0,eastus,5,194.5,succeeded,1
2024-05-14T09:10:56Z,task-2024050-0095,2024.05.0,eastus,5,177.6,succeeded,1
2024-05-14T09:11:02Z,task-2024050-0096,2024.05.0,eastus,10,178.1,succeeded,1
2024-05-14T09:11:13Z,task-2024050-0097,2024.05.0,westeurope,2,217.9,succeeded,1
2024-05-14T09:11:23Z,task-2024050-0098,2024.05.0,westeurope,1,350.5,succeeded,1
2024-05-14T09:11:29Z,task-2024050-0099,2024.05.0,westeurope,2,323.5,succeeded,1
2024-05-14T09:11:33Z,task-2024050-0100,2024.05.0,westeurope,3,232.2,succeeded,1
2024-05-14T09:11:40Z,task-2024050-0101,2024.05.0,eastus,8,199.6,succeeded,1
2024-05-14T09:11:43Z,task-2024050-0102,2024.05.0,eastus,7,152.8,succeeded,1
2024-05-14T09:11:50Z,task-2024050-0103,2024.05.0,westeurope,2,316.7,succeeded,1
2024-05-14T09:11:55Z,task-2024050-0104,2024.05.0,eastus,4,157.7,succeeded,1
2024-05-14T09:12:04Z,task-2024050-0105,2024.05.0,westeurope,1,250.5,succeeded,1
2024-05-14T09:12:08Z,task-2024050-0106,2024.05.0,westeurope,2,127.5,succeeded,1
2024-05-14T09:12:15Z,task-2024050-0107,2024.05.0,westeurope,3,166.7,succeeded,1
2024-05-14T09:12:18Z,task-2024050-0108,2024.05.0,westeurope,2,176.3,succeeded,1
2024-05-14T09:12:25Z,task-2024050-0109,2024.05.0,eastus,8,157.7,succeeded,1
